CODICE ESERCIZIO,TIPO,PROVINCIA,COMUNE,CATEGORIA,TIPOLOGIA,DENOMINAZIONE,LOCALITA,FRAZIONE,INDIRIZZO,CAP,TELEFONO,CELLULARE,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,N_BAGNI,PERIODO_APERTURA,IMPIANTO_SMALTIMENTO_ACQUE,ILLUMINAZIONE_ELETTRICA,ILLUMINAZIONE_GAS,RADIO_TELEFONO,ESTINTORI,LAMPADA_ESTERNA,ATTREZ_PRONTO_SOCCORSO,BARELLA,PALE,SONDA_NEVE,PIAZZOLA_ELICOTTERI,RISTORANTE,TAVOLA_CALDA,BAR,ATTREZZATURE_PREP_PASTI,SPAZIO_CONSUMO_ALIMENTI,TAVOLATO,SMALTIMENTO_RIFIUTI,LOCALE_RICOVERO,RISCALDAMENTO_CENTRALIZZATO,RISCALDAMENTO_CON_STUFA,ALTRO_RISCALDAMENTO,LINGUA_INGLESE,LINGUA_FRANCESE,LINGUA_SPAGNOLA,LINGUA_TEDESCA,ALTRE_LINGUE,ALTRI_IMPIANTI,AMERICAN_EXPRESS,CARTA_SI,DINERS,EUROCARD_MASTERCARD,JCB,VISA,BANCOMAT_POS,CIRRUS,MAESTRO,ALTRE_CARTE_CREDITO
41320,Rifugi alpini ed escursionistici,GORIZIA,STARANZANO,In muratura,Rifugio escursionistico,ISOLA DELLA CONA,CONA,,,34079,0481 784111,333 4056800,0481 784111,inforogos@gmail.com,http://www.isoladellacona.it,3,16,2,01.I - 31.XII,SI,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,Impianto di riscaldamento a biomasse  Impianto fotovoltaico solare termico,SI,NO,NO,SI,sloveno,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2328,Rifugi alpini ed escursionistici,UDINE,DRENCHIA,In muratura,Rifugio escursionistico,SOLARIE,CASONI SOLARIE,,,33040,334 1203924,,,,,3,16,2,01.I - 31.XII,NO,SI,NO,NO,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,NO,SI,NO,SI,NO,SI,NO,,NO,NO,NO,SI,SLOVENO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
50540,Rifugi alpini ed escursionistici,UDINE,PAULARO,In muratura,Rifugio Alpino,RIFUGIO ALPINO FABIANI,PECOL DI CHIAULA ALTA,,,33027,,3667863211,,,,2,14,2,01.V - 31.X,NO,SI,NO,NO,SI,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,SI,NO,SI,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
34860,Rifugi alpini ed escursionistici,PORDENONE,BARCIS,Altro,Rifugio escursionistico,RIFUGIO VALLATA,VALLATA,,"VIA LUNGO LAGO, 12",33080,0427  76325,349 7053300,,rifugiovallata@alice.it,http://www.rifugiovallata.it,3,5,3,01.I - 31.XII,NO,SI,NO,SI,SI,SI,SI,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,SI,NO,SI,NO,,SI,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2338,Rifugi alpini ed escursionistici,UDINE,SAURIS,Altro,Rifugio Alpino,EIMBLATRIBN,EIMBLATRIBN,SAURIS DI SOTTO,,33020,339 5723559,,,,,4,7,1,"15.VI - 15.IX, 01.I - 15.I, 15.XII - 31.XII",SI,SI,NO,NO,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,SI,,NO,NO,SI,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
46540,Rifugi alpini ed escursionistici,PORDENONE,ERTO E CASSO,In muratura,Rifugio escursionistico,RIFUGIO ESCURSIONISTICO CAVA BUSCADA,COGARIA,,LOCALITA COGARIA,33080,0427 879182,320 0413665,,robyc.72@tiscali.ikt,http://www.cavabuscada.com,1,20,2,20.VI - 20.IX,NO,SI,NO,SI,SI,SI,SI,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,SI,,SI,SI,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2321,Rifugi alpini ed escursionistici,PORDENONE,ERTO E CASSO,Altro,Rifugio Alpino,CASERA DITTA,VAL MESAZZO,,,33080,0427 879010,,,,,2,20,1,01.I - 31.XII,SI,SI,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,,SI,NO,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
46480,Rifugi alpini ed escursionistici,UDINE,TARVISIO,In muratura,Rifugio Alpino,MONTE LUSSARI,MONTE LUSSARI N. 17,,,33018,0428 63242,331 6813180,0428 63242,michelemeschnik@tiscali.it,http://www.rifugioalpinomontelussari.com,10,25,10,01.I - 31.XII,SI,SI,NO,NO,SI,SI,SI,NO,SI,NO,SI,SI,NO,SI,NO,NO,NO,SI,NO,SI,SI,,NO,NO,NO,SI,LINGUA SLOVENA,,NO,SI,NO,SI,NO,SI,SI,NO,SI,
2334,Rifugi alpini ed escursionistici,UDINE,TARVISIO,Altro,Rifugio Alpino,GUIDO CORSI,PARETE SUD DELLO JOF FUART,CAVE DEL PREDIL,,33018,0428 68113,335 91707750,0428 68113,rifugiocorsi@virgilio.it,http://www.rifugiocorsi.it,7,54,4,01.VI - 31.X,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,CAMINETTO E STUFA,SI,NO,NO,SI,UNGHERESE   CECO     SLOVENO,"IMPIANTO FOTOVOLTAICO,  TELEFERICA",NO,NO,NO,NO,NO,NO,NO,NO,NO,
2320,Rifugi alpini ed escursionistici,UDINE,AMPEZZO,In muratura,Rifugio escursionistico,TITA PIAZ,PASSO DEL MONTE PURA,,,33021,3391378897,3391378897,,info@rifugiotitapiaz.com,http://www.rifugiotitapiaz.com,14,30,14,15.V - 31.X,NO,SI,NO,NO,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,NO,SI,NO,NO,SI,SI,NO,,NO,NO,NO,NO,,,NO,SI,NO,SI,NO,SI,SI,NO,SI,
