RIFUGI ALPINI DELL'ALTO ADIGE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Gruppi: Sesvenna - Alpi Venoste e Stubai - Tessa;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
G. Biasi al Bicchiere;Becherhaus;3.190;Racines;Provincia Autonoma di Bolzano ;0472 656377;e.pichler@becherhaus.com;www.becherhaus.com;;;;;;;;;;;;;;
Bocker ;Bocker-Hütte;1.717;Tirolo;Interessenza Spronser Alp;0473 945544;;www.bockerhuette.com;;;;;;;;;;;;;;
Vedretta Piana;Grohmann-Hütte;2.254;Racines;Provincia Autonoma di Bolzano;348 2400286;;;;;;;;;;;;;;;;
Hochalm;Hochalm-Hütte;2.174;Moso in Passiria;Privato;348 4110362;f.gufler@gmx.net;www.13rifugi.com;;;;;;;;;;;;;;
Hochgang ;Hochganghaus;1.834;Parcines;Privato;0473 443310;erlacher@hochganghaus.it;www.hochganghaus.it;;;;;;;;;;;;;;
Cima Fiammante;Lodner-Hütte;2.262;Parcines;Provincia Autonoma di Bolzano ;0473 967367;;;;;;;;;;;;;;;;
Cremona alla Stua;Magdeburger-Hütte;2.423;Brennero;C.A.I.;0472 632472;;www.13rifugi.com;;;;;;;;;;;;;;
Cima Libera ;Müller-Hütte;3.148;Racines;Provincia Autonoma di Bolzano;"0472 647373
329 2346943";info@muellerhuette.eu;www.muellerhuette.eu;;;;;;;;;;;;;;
Nassereto;Nasereit-Hütte;1.523;Parcines;Interessenza Ziel-Alm;"0473 968222
340 4941347";info@nasereit.com;www.nasereit.com;;;;;;;;;;;;;;
Oberettes;Oberettes-Hütte;2.670;Malles;AVS;0473 830280;info@oberettes.it;www.oberettes.it;;;;;;;;;;;;;;
Oberkaser;Oberkaser-Hütte;2.135;Tirolo;Interessenza Spronser Alp;0473 923488;;www.dorftirol.com/oberkaseralm;;;;;;;;;;;;;;
Monteneve;Schneeberg-Hütte;2.355;Moso in Passiria;Provincia Autonoma di Bolzano ;0473 647045;info@schneeberg.org;www.monteneve.org;;;;;;;;;;;;;;
Bella Vista ;Schöne-Aussicht-Hütte;2.842;Senales;Privato;0473 662140;info@schoeneaussicht.it;www.schoeneaussicht.it;;;;;;;;;;;;;;
Sesvenna;Sesvenna-Hütte;2.256;Malles Venosta;AVS;0473 830234;info@sesvenna.it;www.sesvenna.it;;;;;;;;;;;;;;
Similaun;Similaun-Hütte;3.018;Senales;Privato;0473 669711;info@vent-hotel-post.com;www.vent-hotel-post.com;;;;;;;;;;;;;;
Petrarca all'Altissima;Stettiner-Hütte;2.875;Moso in Passiria;Provincia Autonoma di Bolzano;0473 646789;stettiner@13h.de;www.13rifugi.com;;;;;;;;;;;;;;
Vedretta Pendente;Teplitzer-Hütte;2.586;Racines;Provincia Autonoma di Bolzano;338 1358371;info@teplitzerhuette.com;www.teplitzerhuette.com;;;;;;;;;;;;;;
Calciati al Tribulaun  ;Tribulaun-Hütte;2.368;Brennero;C.A.I.;0472 632470;info@tribulaunhuette.com;www.tribulaunhuette.com;;;;;;;;;;;;;;
Pio XI;Weißkugel-Hütte;2.542;Curon Venosta;Provincia Autonoma di Bolzano;0473 633191;info@weisskugel.it;www.weisskugel.it;;;;;;;;;;;;;;
Plan;Zwickauer-Hütte;2.979;Moso in Passiria;Provincia Autonoma di Bolzano;0473 646002;zwickauerhuette@13h.de;www.13rifugi.com;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Gruppi: Alpi Aurine - Vedrette di Ries;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Brigata Tridentina;Birnlücken-Hütte;2.441;Predoi;Provincia Autonoma di Bolzano;0474 654140;info@pension-knappenhof.com;www.pension-knappenhof.com;;;;;;;;;;;;;;
Bressanone;Brixner-Hütte;2.300;Rio di Pusteria;AVS;0472 547131;info@brixnerhuette.it;www.brixnerhuette.it;;;;;;;;;;;;;;
Giovanni Porro;Chemnitzer-Hütte;2.420;Selva dei Molini;Provincia Autonoma di Bolzano;0474 653244;info@chemnitzerhuette.com;www.chemnitzerhuette.com;;;;;;;;;;;;;;
Ponte di Ghiaccio;Edelraut-Hütte;2.545;Selva dei Molini;Provincia Autonoma di Bolzano;0474 653230;info@edelrauthuette.it;www.edelrauthuette.it;;;;;;;;;;;;;;
Genziana;Enzian-Hütte;1.894;Brennero;Privato;0472 631224;;;;;;;;;;;;;;;;
Gran Pilastro;Hochfeiler-Hütte;2.710;Val di Vizze;AVS;0472 646071;info@hochfeilerhuette.it;www.hochfeilerhuette.it;;;;;;;;;;;;;;
Cima Gallina;Hühnerspiel-Hütte;1.868;Brennero;Privato;335 5666181;info@huehnerspielhuette;www.huehnerspielhuette.it;;;;;;;;;;;;;;
Roma;Kasseler-Hütte;2.276;Campo Tures;Provincia Autonoma di Bolzano;0474 672550;info@kasseler-huette.com;www.kasseler-huette.com;;;;;;;;;;;;;;
Venna alla Gerla;Landshuterh. (Europah.) ;2.690;Val di Vizze;C.A.I.;0472 646076;info@europahuette.it;www.europahuette.it;;;;;;;;;;;;;;
Giogo Lungo;Lenkjöchl-Hütte;2.590;Predoi;Provincia Autonoma di Bolzano;0474 654144;info@lenkl.com;www.lenkl.com;;;;;;;;;;;;;;
Rifugio Passo di Vizze;Pfitscherjoch;2.276;Val di Vizze;Privato;0472 630119;office@pfitscherjochhaus.com;www.pfitscherjochhaus.com;;;;;;;;;;;;;;
Vedretta di Ries;Rieserferner-Hütte;2.792;Anterselva;AVS;0474 492125;info@rieserfernerhuette.it;www.rieserfernerhuette.it;;;;;;;;;;;;;;
Vitt.Veneto Sasso Nero;Schwarzenstein-Hütte;2.922;Valle Aurina;Provincia Autonoma di Bolzano;;knapp@rolmail.net;www.schwarzensteinhuette.com;;;;;;;;;;;;;;
Simile Mahd;Simile-Mahd-Alm-Hütte;2.011;Campo di Trens;Privato;0472 647162;;;;;;;;;;;;;;;;
Vipiteno;Sterzinger-Hütte;2.344;Val di Vizze;AVS;0472 646074;;www.sterzingerhuette.it;;;;;;;;;;;;;;
Lago della Pausa;Tiefrasten-Hütte;2.312;Terento;AVS;0474 554999;info@tiefrastenhuette.it;www.tiefrastenhuette.it;;;;;;;;;;;;;;
Wieser;Wieser-Hütte;1.833;Rio di Pusteria;Privato;0472 520350;info@schutzhaus-wieserhuette.com;www.schutzhaus-wieserhuette.com;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Gruppi: Ortles - Mendola;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Aldo e Vanni Borletti;Bergl-Hütte;2.188;Stelvio;Provincia Autonoma di Bolzano;338 3877344;;www.berglhuette.it;;;;;;;;;;;;;;
Serristori;Düsselldorfer-Hütte;2.721;Stelvio;Provincia Autonoma di Bolzano;0473 613115;info@duesseldorferhuette.com;www.duesseldorferhuette.com;;;;;;;;;;;;;;
Coston;Hintergrat-Hütte;2.661;Stelvio;Privato;0473 613188;info@hintergrathuette.com;www.hintergrathuette.com;;;;;;;;;;;;;;
U. Canziani;Höchster-Hütte;2.560;Ultimo;C.A.I.;0473 798120;info@rifugiocanziani.it;www.rifugiocanziani.it;;;;;;;;;;;;;;
Lyfi Alm;Lyfi-Alm-Hütte;2.165;Martello;Comune di Martello;0473 744708;info@lyfialm.it;www.lyfialm.it;;;;;;;;;;;;;;
Martello;Marteller-Hütte;2.610;Martello;AVS;0473 744790;info@martellerhuette.com;www.martellerhuette.com;;;;;;;;;;;;;;
